Sample_ID	Host_Taxonomy_NCBI	Source
JL311_B12_3	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Sceptrulophora;f__Farreidae;g__;s__	Sponge
JL311_B12_4	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Sceptrulophora;f__Farreidae;g__;s__	Sponge
JL311_B13_4	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__Paracalyptrophora;s__	Coral
JL311_B14_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;sc__Hydroidolina;o__Leptothecata;f__;g__;s__	Sponge
JL311_B14_4	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;sc__Hydroidolina;o__Leptothecata;f__;g__;s__	Sponge
JL311_B16_4_	na	Sponge
JL311_B17_1_LN	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Lyssacinosida;f__Euplectellidae;g__;s__	na
JL311_B17_3_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL311_B23_5	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Lyssacinosida;f__Euplectellidae;g__;s__	Sponge
JL311_B24_1	na	Sponge
JL311_B25	na	Sponge
JL312_B01_1_1	na	Sponge
JL312_B01_1_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__Epizoanthidae;g__Epizoanthus;s__	Coral
JL312_B01_5	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__Epizoanthidae;g__Epizoanthus;s__	Coral
JL312_B06_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	Coral
JL312_B09_5A	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL312_B09_5B	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL312_B09_6	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Seastar
JL312_B11	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Schizopathidae;g__;s__	Coral
JL312_B18_2	d__Eukaryota;k__Metazoa;p__Annelida;c__Polychaeta;sc__Errantia;o__Phyllodocida;f__Polynoidae;g__;s__	Sponge
JL312_B18_4	d__Eukaryota;k__Metazoa;p__Annelida;c__Polychaeta;sc__Errantia;o__Phyllodocida;f__Polynoidae;g__;s__	Sponge
JL312_B19_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__Paramuriceidae;g__Acanthogorgia;s__	Coral
JL312_B23	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;f__;g__;s__	Anemone
JL312_B23_4	na	Hydrozoa
JL312_B26_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__Epizoanthidae;g__Epizoanthus;s__	Coral
JL312_B26_6	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__Epizoanthidae;g__Epizoanthus;s__	Coral
JL312_B30_1	no_hit(Bacterium)	Sponge
JL313_B01_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	Coral
JL313_B05	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__Candidella;s__Candidella helminthophora	Coral
JL313_B07_1_1	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;f__;g__;s__	Dead_sponge
JL313_B07_1_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;f__;g__;s__	Dead_sponge
JL313_B07_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;f__;g__;s__	Dead_sponge
JL313_B07_5	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;f__;g__;s__	Anemone
JL313_B07_or_	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;uf__Amphiuroidea;f__Amphiuridae;g__;s__	Ophiuroid
JL313_B11_1	na	Sponge
JL313_B11_2	na	Sponge
JL313_B18_7	na	Sponge
JL313_B21_1	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Dead_sponge
JL313_B22_5	na	Sponge
JL313_B24_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__Epizoanthidae;g__Epizoanthus;s__	Coral
JL313_B24_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__Epizoanthidae;g__Epizoanthus;s__	Coral
JL313_B24_5_	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;f__;g__;s__	Ophiuroid
JL313_B25_1	na	Sponge
JL313_B25_2	na	Sponge
JL313_B28_1	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Sceptrulophora;f__Farreidae;g__;s__	Sponge
JL313_B30_1	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Lyssacinosida;f__Euplectellidae;g__;s__	Sponge
JL313_B30_3	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Lyssacinosida;f__Euplectellidae;g__;s__	Sponge
JL313_B35_1_3	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;f__Ophiacanthidae;g__;s__	Ophiuroid
